assembly IDs	species	genus	family	order	class	phylum	superkingdom	gram_stain	metabolism	pathways	carbon_substrates	sporulation	motility	range_tmp	range_salinity	cell_shape	isolation_source	d1_lo	d1_up	d2_lo	d2_up	doubling_h	genome_size	gc_content	coding_genes	optimum_tmp	optimum_ph	growth_tmp	rRNA16S_genes	tRNA_genes	gram_stain.count	metabolism.count	pathways.count	carbon_substrates.count	sporulation.count	motility.count	range_tmp.count	range_salinity.count	cell_shape.count	isolation_source.count	gram_stain.prop	metabolism.prop	pathways.prop	carbon_substrates.prop	sporulation.prop	motility.prop	range_tmp.prop	range_salinity.prop	cell_shape.prop	isolation_source.prop	d1_lo.count	d1_up.count	d2_lo.count	d2_up.count	doubling_h.count	genome_size.count	gc_content.count	coding_genes.count	optimum_tmp.count	optimum_ph.count	growth_tmp.count	rRNA16S_genes.count	tRNA_genes.count	d1_lo.stdev	d1_up.stdev	d2_lo.stdev	d2_up.stdev	doubling_h.stdev	genome_size.stdev	gc_content.stdev	coding_genes.stdev	optimum_tmp.stdev	optimum_ph.stdev	growth_tmp.stdev	rRNA16S_genes.stdev	tRNA_genes.stdev	data_source	ref_id	tid
GCA_003583765.1	Paenibacillus nanensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	positive	facultative	nitrate_reduction	adonitol, arabinose, arabitol, cellobiose, fructose, fucose, galactose, gluconic acid, glucose, glycerol, glycogen, lactose, melibiose, raffinose, ribose, salicin, sorbitol, xylitol, xylose	yes	flagella			bacillus	soil	1.0	1.2	3.0	8.0					37.0	7.5	30.0			1	1.0	1	1	1	1	0	0	1	1.0	100.0	100.0	100.0	100.0	100.0	100.0			100.0	100.0	1	1	1.0	1.0	0	0	0	0	1	1	1	0	0														engqvist, fierer, gold	705, 4265, 13521	393251
GCA_003860075.1	Actinomyces bowdenii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria	positive	microaerophilic								host_animal_endotherm_surface	2.0	4.0									37.0			1	1.0	0	0	0	0	0	0	0	1.0	100.0	100.0								100.0	1	1	0.0	0.0	0	0	0	0	0	0	1	0	0	0.0	0.0												bacdive-microa, engqvist, gold, bergeys	151, 705, 13521	131109
GCA_900106055.1	Actinomyces radingae	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria	positive	anaerobic									0.65					2430193.0					37.0			1	1.0	0	0	0	0	0	0	0	0.0	100.0	100.0									1	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0.0													engqvist, gold, bergeys	705, 13521	131110
GCA_900112455.1	Alkalibacterium subtropicum	Alkalibacterium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	positive															2491452.0					30.0			1	0.0	0	0	0	0	0	0	0	0.0	100.0										0	0	0.0	0.0	0	1	0	0	0	0	1	0	0														engqvist, gold	705, 13521	753702
GCA_900105865.1	Arcanobacterium phocae	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria	positive	microaerophilic														1998242.0					37.0			1	1.0	0	0	0	0	0	0	0	0.0	100.0	100.0									0	0	0.0	0.0	0	1	0	0	0	0	1	0	0														bacdive-microa, engqvist, gold	151, 705, 13521	131112
GCA_900109545.1	Stigmatella aurantiaca	Stigmatella	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	aerobic			yes	yes	mesophilic		bacillus	host_plant			40.0	60.0		10112373.83	67.464	8206.667			28.0	2.0	49.0	5	2.0	0	0	2	2	1	0	2	2.0	100.0	100.0			100.0	100.0	100.0		100.0	100.0	0	0	1.0	1.0	0	6	2	3	0	0	1	2	2			0.0	0.0		365765.867	0.051	126.34200000000001				0.0	0.0	engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys	705, 6014, 13521, 15006, 16531, 19891, 19897, 19908	41
GCA_002224365.1	Virgibacillus necropolis	Virgibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	positive	aerobic	nitrate_reduction						bacillus	built_environment_surfaces	0.5	0.7	2.0	5.0		4337421.333000001	37.3	3966.0			29.0	7.0	62.0	1	1.0	1	0	0	0	0	0	1	1.0	100.0	100.0	100.0						100.0	100.0	1	1	1.0	1.0	0	3	1	2	0	0	1	1	1	0.0	0.0	0.0	0.0		1.155		1.4140000000000001						engqvist, faprotax, genbank, gold, kegg, pasteur, rrndb, bergeys	705, 755, 8084, 13521, 19646	163877
GCA_002305875.1	Cystobacter fuscus	Cystobacter	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	aerobic			yes	yes				soil	0.8		5.0	15.0		12353562.4	68.55	9722.5	37.0		28.0	4.0	60.0	3	1.0	0	0	2	1	0	0	0	1.0	100.0	100.0			100.0	100.0				100.0	1	0	1.0	1.0	0	5	2	2	1	0	1	1	1	0.0		0.0	0.0		54655.983	0.071	160.513						engqvist, genbank, gold, kegg, patric, protraits, rrndb, bergeys	705, 8500, 13521, 19704, 19897, 19908	43
GCA_002847545.1	Actinomyces turicensis	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria	positive	anaerobic			no	no	mesophilic		bacillus	host_animal_endotherm_vagina	0.5	0.8				1951528.0	57.18				37.0			5	2.0	0	0	3	1	1	0	1	1.0	100.0	66.7			100.0	100.0	100.0		100.0	50.0	1	1	0.0	0.0	0	2	1	0	0	0	1	0	0	0.0	0.0				0.0								engqvist, gold, microbe-directory, pasteur, patric, protraits, bergeys	705, 13521, 19891, 19897, 19908	131111
GCA_003387095.1	Archangium gephyra	Archangium	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	aerobic	cellulose_degradation				mesophilic				0.6	0.8	6.0	15.0		12489425.6	69.42399999999999	9753.667	28.0		28.0	3.0	81.0	1	1.0	2	0	0	0	1	0	0	0.0	100.0	100.0	100.0				100.0				1	1	1.0	1.0	0	5	2	3	1	0	1	2	2	0.0	0.0	0.0	0.0		14.311	0.034	318.247				0.0	0.0	engqvist, faprotax, genbank, gold, jemma-refseq, kegg, patric, rrndb, bergeys	705, 827, 7649, 13521, 13625, 18831, 19897	48
GCA_000934525.1	Alteromonas australica	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	negative	aerobic				yes				water_marine						4372534.714	44.9	3472.4			25.0	5.0	59.667	1	1.0	0	0	0	1	0	0	0	2.0	100.0	100.0				100.0				100.0	0	0	0.0	0.0	0	7	2	5	0	0	1	2	3						79450.932	0.0	211.981				0.0	6.351	engqvist, genbank, gold, jemma-refseq, kegg, pasteur, rrndb	705, 7454, 8418, 13521, 13599, 18175, 18753	589873
GCA_004217495.1	Phycicola gilvus	Phycicola	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	positive	obligate aerobic	nitrate_reduction		no	flagella			bacillus	host	0.45		1.0						25.0	7.6	28.0			1	1.0	2	0	1	1	0	0	1		100.0	100.0	100.0		100.0	100.0			100.0		1	0	1.0	0.0	0	0	0	0	1	1	1	0	0														engqvist, faprotax, fierer, gold	705, 767, 4449, 13521	393267
GCA_001189295.1	Chondromyces crocatus	Chondromyces	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	obligate aerobic	aerobic_chemo_heterotrophy		no	no			bacillus	soil	1.1	1.4	3.0	12.0		11388124.0	68.7	8152.6669999999995			30.0	3.0	83.0	2	1.0	2	0	1	1	0	0	1	2.0	100.0	100.0	100.0		100.0	100.0			100.0	100.0	1	1	1.0	1.0	0	4	1	3	0	0	1	2	2	0.0	0.0	0.0	0.0		16.0		163.072				0.0	0.0	engqvist, faprotax, genbank, gold, jemma-refseq, kegg, rrndb, bergeys	705, 1541, 7674, 13521, 13904, 18891	52
GCA_000601485.1	Chondromyces apiculatus	Chondromyces	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	obligate aerobic			yes						1.1	1.4	3.0	14.0		11572335.0					29.0			2	1.0	0	0	1	0	0	0	0	0.0	100.0	100.0			100.0						1	1	1.0	1.0	0	1	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0										engqvist, gold, protraits, bergeys	705, 13521, 19908	51
GCA_002343915.1	Nannocystis exedens	Nannocystis	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative		aerobic_chemo_heterotrophy							soil	1.1	2.0	1.5	5.0		11835961.5					28.0			1	0.0	2	0	0	0	0	0	0	1.0	100.0		100.0							100.0	1	1	1.0	1.0	0	2	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0		315499.025								engqvist, faprotax, gold, bergeys	705, 1542, 13521	54
GCA_002950945.1	Sorangium cellulosum	Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	negative	aerobic	cellulose_degradation, fermentation, xylan_degradation			yes	mesophilic	non-halophilic	bacillus	soil	0.8	1.2	3.0	8.0	6.0	12740812.72	71.74	9823.833	28.0	9.5	31.0	4.0	59.75	6	3.0	7	0	0	3	1	1	3	1.0	100.0	100.0	100.0			100.0	100.0	100.0	100.0	100.0	1	1	1.0	1.0	1	18	5	6	2	1	2	3	4	0.0	0.0	0.0	0.0		1773038.38	0.35100000000000003	541.7719999999999	2.8280000000000003		4.243	0.0	2.5	engqvist, faprotax, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys	705, 1179, 760, 1017, 6178, 8842, 9354, 13521, 14942, 15863, 17763, 19891, 19897, 19908, 20194	56
GCA_000382305.1	Vitreoscilla stercoraria	Vitreoscilla	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	negative	aerobic								host_animal_endotherm_intestinal	1.0		1.5	12.0		2581302.0					26.0			2	1.0	0	0	0	0	0	0	0	1.0	100.0	100.0								100.0	1	0	1.0	1.0	0	1	0	0	0	0	1	0	0	0.0		0.0	0.0										engqvist, gold, microbe-directory, bergeys	705, 13521, 19891	61
GCA_900095785.1	Donghicola eburneus	Donghicola	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	negative	obligate aerobic	nitrate_reduction	acetate, arabinose, cellobiose, fructose, galactose, glucose, lactose, malate, maltose, mannitol, mannose, pyruvate, sorbitol, succinate, sucrose	no	no			coccus	water_marine	0.7		1.3			4426466.0			26.0	7.5	32.0			1	1.0	1	1	1	1	0	0	1	2.0	100.0	50.0	100.0	100.0	100.0	100.0			100.0	100.0	1	0	1.0	0.0	0	1	0	0	1	1	1	0	0														engqvist, fierer, gold, pasteur	705, 2759, 13521	393278
GCA_002222655.1	Vitreoscilla filiformis	Vitreoscilla	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	negative	aerobic								wastewater	1.0	1.5				3787550.667	63.492	3487.5			30.0	2.0	57.0	1	1.0	0	0	0	0	0	0	0	1.0	100.0	100.0								100.0	1	1	0.0	0.0	0	3	1	2	0	0	1	1	1	0.0	0.0				0.5770000000000001		98.288						engqvist, genbank, gold, kegg, rrndb, bergeys	705, 8083, 13521, 19634	63
GCA_004136555.1	Kocuria carniphila	Kocuria	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	positive	microaerophilic	nitrate_reduction							food											28.0			2	1.0	1	0	0	0	0	0	0	1.0	100.0	100.0	100.0							100.0	0	0	0.0	0.0	0	0	0	0	0	0	1	0	0														bacdive-microa, engqvist, faprotax, gold	151, 705, 767, 13521	262208
GCA_000018565.1	Herpetosiphon aurantiacus	Herpetosiphon	Herpetosiphonaceae	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria	negative	aerobic			no	yes	mesophilic		filament	water_groundwater_surface	1.0	1.5	5.0	10.0	20.0	6785430.0	52.13399999999999	5278.0	31.25		26.333000000000002		51.0	6	4.0	0	0	2	4	3	0	4	1.0	100.0	100.0			100.0	100.0	100.0		100.0	100.0	1	1	1.0	1.0	1	4	4	2	2	0	3	0	1	0.0	0.0	0.0	0.0		0.0	1.455	0.0	1.768		1.528			engqvist, genbank, gold, kegg, microbe-directory, patric, protraits, silva, bergeys	705, 6041, 13521, 15843, 19891, 19897, 19908, 20114	65
