assembly ID	Length	GC-content	Present Markers	Completeness	Redundancy	Weighted completeness	Weighted redundancy	Contigs	N50	L50	N90	L90	CDs	GC
GCA_009685195.1	-	-	105	1.0	1.019	1.0	1.0321	-	-	-	-	-	4329	61.575186630898806
GCA_001571225.1	-	-	104	0.9905	1.0096	0.9801	1.0008	-	-	-	-	-	4484	66.44861012144041
GCA_009017435.1	-	-	99	0.9429	1.0	0.8832	1.0	-	-	-	-	-	978	52.76465870220313
GCA_000092105.1	-	-	101	0.9619	1.0099	0.9627	1.0209	-	-	-	-	-	4274	55.34607707719701
GCA_001571145.1	-	-	103	0.981	1.0097	0.9685	1.0008	-	-	-	-	-	4858	65.55156008506808
GCA_000186345.1	-	-	101	0.9619	1.0198	0.9662	1.0214	-	-	-	-	-	3761	64.72044238661289
GCA_001592305.1	-	-	104	0.9905	1.0096	0.9884	1.0008	-	-	-	-	-	4892	65.44349240647391
GCA_900111615.1	-	-	105	1.0	1.019	1.0	1.024	-	-	-	-	-	3534	35.877714885752226
GCA_900089755.1	-	-	105	1.0	1.0286	1.0	1.0319	-	-	-	-	-	3360	48.26022806346665
GCA_000165715.3	-	-	99	0.9429	1.0404	0.92	1.05	-	-	-	-	-	4824	56.448637682336866
GCA_900497605.1	-	-	101	0.9619	1.0297	0.9373	1.0526	-	-	-	-	-	2583	37.727747839721374
GCA_000378205.1	-	-	102	0.9714	1.0392	0.9583	1.0537	-	-	-	-	-	4217	44.32802404822115
GCA_000025185.1	-	-	103	0.981	1.0	0.9906	1.0	-	-	-	-	-	4705	57.464697308785595
GCA_014207565.1	-	-	103	0.981	1.068	0.9732	1.1054	-	-	-	-	-	4332	44.017963883127265
GCA_000153585.1	-	-	43	0.4095	1.0	0.5708	1.0	-	-	-	-	-	1430	31.465869450010995
GCA_900109935.1	-	-	101	0.9619	1.0099	0.9768	1.0134	-	-	-	-	-	4036	36.342783920616675
GCA_000012225.1	-	-	87	0.8286	1.0805	0.6802	1.0726	-	-	-	-	-	687	24.511021285312104
GCA_009720545.1	-	-	100	0.9524	1.04	0.9476	1.0686	-	-	-	-	-	6111	50.41846971341917
GCA_008065095.1	-	-	102	0.9714	1.049	0.972	1.0606	-	-	-	-	-	7505	67.35971337899886
GCA_001013275.1	-	-	104	0.9905	1.0096	0.9899	1.0165	-	-	-	-	-	2751	26.58343015959653
GCA_000024525.1	-	-	101	0.9619	1.0198	0.9393	1.0296	-	-	-	-	-	7117	47.80519005936364
GCA_900497595.1	-	-	100	0.9524	1.02	0.9182	1.0436	-	-	-	-	-	1880	38.31882046227622
GCA_000944995.1	-	-	101	0.9619	1.0297	0.95	1.0786	-	-	-	-	-	2720	39.28240280538802
GCA_003860045.1	-	-	104	0.9905	1.0	0.9824	1.0	-	-	-	-	-	1934	42.50966784356356
GCA_900113965.1	-	-	101	0.9619	1.0198	0.9501	1.0362	-	-	-	-	-	2748	40.40921947933124
GCA_000195275.1	-	-	101	0.9619	1.0198	0.9369	1.0367	-	-	-	-	-	2743	38.912180451193095
GCA_000255555.2	-	-	100	0.9524	1.03	0.9432	1.0411	-	-	-	-	-	2819	52.68818303944299
GCA_000975275.1	-	-	104	0.9905	1.0673	0.9918	1.0672	-	-	-	-	-	5508	51.48610173953316
GCA_001497655.1	-	-	104	0.9905	1.0	0.9751	1.0	-	-	-	-	-	1666	29.13328087215216
GCA_000284315.1	-	-	98	0.9333	1.0204	0.8898	1.03	-	-	-	-	-	2440	50.047547643363764
GCA_009828095.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	2723	53.93087938060011
GCA_010120585.1	-	-	103	0.981	1.0	0.975	1.0	-	-	-	-	-	1811	35.35083773327093
GCA_000768345.1	-	-	105	1.0	1.0095	1.0	1.0151	-	-	-	-	-	2628	65.27635966606802
GCA_001232905.1	-	-	104	0.9905	1.0	0.9751	1.0	-	-	-	-	-	1700	30.623137743883166
GCA_000420525.1	-	-	104	0.9905	1.0	0.9918	1.0	-	-	-	-	-	2401	49.1677931317845
GCA_001569455.1	-	-	100	0.9524	1.01	0.9431	1.0173	-	-	-	-	-	3342	40.23685568265842
GCA_001292605.1	-	-	98	0.9333	1.0408	0.8931	1.0729	-	-	-	-	-	3642	35.13910112546922
GCA_004770325.1	-	-	102	0.9714	1.0098	0.9616	1.0170000000000001	-	-	-	-	-	3603	37.842365374836845
GCA_008000635.1	-	-	103	0.981	1.0097	0.975	1.0017	-	-	-	-	-	1872	32.44068389657627
GCA_900108405.1	-	-	104	0.9905	1.0	0.9814	1.0	-	-	-	-	-	2997	64.37230184028253
GCA_002913665.1	-	-	103	0.981	1.0	0.9669	1.0	-	-	-	-	-	1990	39.82989150734827
GCA_012978875.1	-	-	102	0.9714	1.0	0.9576	1.0	-	-	-	-	-	1915	42.58031142419469
GCA_004357905.1	-	-	103	0.981	1.0097	0.9669	1.0192	-	-	-	-	-	1513	29.095093032945265
GCA_002220775.1	-	-	103	0.981	1.0097	0.975	1.0017	-	-	-	-	-	1670	29.259964396830807
GCA_002009735.1	-	-	97	0.9238	1.0412	0.9319	1.0885	-	-	-	-	-	4152	52.777355654068764
GCA_000829825.1	-	-	105	1.0	1.0095	1.0	1.0167	-	-	-	-	-	4152	59.29459067056507
GCA_013372205.1	-	-	103	0.981	1.0194	0.9749	1.048	-	-	-	-	-	1795	36.55416080718227
GCA_900197745.1	-	-	99	0.9429	1.0	0.94	1.0	-	-	-	-	-	1476	38.32714485779898
GCA_003639215.1	-	-	99	0.9429	1.0	0.94	1.0	-	-	-	-	-	1461	40.98322904142571
GCA_002217275.1	-	-	103	0.981	1.0	0.9747	1.0	-	-	-	-	-	4559	34.26957783184689
GCA_003859865.1	-	-	101	0.9619	1.0099	0.9574	1.0287	-	-	-	-	-	2229	40.24212298916731
GCA_900573925.1	-	-	101	0.9619	1.0099	0.9574	1.0287	-	-	-	-	-	2303	39.506533965935404
GCA_900197005.1	-	-	98	0.9333	1.0102	0.9082	1.0304	-	-	-	-	-	1592	44.538522669451524
GCA_003214035.1	-	-	99	0.9429	1.0101	0.9212	1.0332	-	-	-	-	-	2092	35.692159740224774
GCA_900451005.1	-	-	101	0.9619	1.0	0.9301	1.0	-	-	-	-	-	2173	36.56415987326824
GCA_900197835.1	-	-	99	0.9429	1.0101	0.9128	1.0335	-	-	-	-	-	1888	32.41903354699083
GCA_900451085.1	-	-	98	0.9333	1.0102	0.9236	1.0254	-	-	-	-	-	1529	42.20059852523531
GCA_013340975.1	-	-	105	1.0	1.0667	1.0	1.1022	-	-	-	-	-	6618	68.36141548675005
GCA_900177475.1	-	-	104	0.9905	1.0481	0.9775	1.0696	-	-	-	-	-	6746	68.8436025043406
GCA_001866585.1	-	-	103	0.981	1.0291	0.9576	1.0618	-	-	-	-	-	2243	62.697844449952186
GCA_900186975.1	-	-	104	0.9905	1.0	0.9775	1.0	-	-	-	-	-	1806	64.19040806456655
GCA_900446135.1	-	-	105	1.0	1.0095	1.0	1.0121	-	-	-	-	-	3230	57.206275311391806
GCA_002860625.1	-	-	103	0.981	1.0194	0.9599	1.0229	-	-	-	-	-	2167	55.666075113776486
GCA_009733215.1	-	-	105	1.0	1.0095	1.0	1.0121	-	-	-	-	-	3121	55.51779668805552
GCA_000973625.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	2060	45.16012499679217
GCA_001924935.1	-	-	105	1.0	1.0095	1.0	1.0151	-	-	-	-	-	3539	40.84883880788372
GCA_014219245.1	-	-	102	0.9714	1.0	0.9746	1.0	-	-	-	-	-	3741	36.8755073105121
GCA_006539785.1	-	-	103	0.981	1.0	0.9747	1.0	-	-	-	-	-	3162	32.724120138472436
GCA_006539245.1	-	-	104	0.9905	1.0096	0.9781	1.0155	-	-	-	-	-	3953	39.66940204674117
GCA_900167605.1	-	-	105	1.0	1.019	1.0	1.0351	-	-	-	-	-	2952	33.169847162423835
GCA_002724055.1	-	-	105	1.0	1.0286	1.0	1.0147	-	-	-	-	-	3147	33.618671866152006
GCA_003428875.1	-	-	105	1.0	1.0095	1.0	1.0275	-	-	-	-	-	3307	44.18563813692281
GCA_007997315.1	-	-	102	0.9714	1.0098	0.9654	1.0152	-	-	-	-	-	3025	34.186798178477424
GCA_006540005.1	-	-	105	1.0	1.0286	1.0	1.0527	-	-	-	-	-	2862	62.56756749997531
GCA_000497245.1	-	-	105	1.0	1.019	1.0	1.0278	-	-	-	-	-	3513	42.39570725310624
GCA_008705155.1	-	-	102	0.9714	1.0	0.9668	1.0	-	-	-	-	-	3395	31.517523190884262
GCA_003097035.1	-	-	105	1.0	1.0476	1.0	1.0527	-	-	-	-	-	6285	61.19954268293772
GCA_000425585.1	-	-	105	1.0	1.0095	1.0	1.0151	-	-	-	-	-	3967	48.111233986589475
GCA_003815995.1	-	-	103	0.981	1.0	0.9861	1.0	-	-	-	-	-	4611	33.095468545261426
GCA_004023465.1	-	-	103	0.981	1.0097	0.9669	1.0157	-	-	-	-	-	2578	29.769525246577363
GCA_004328965.1	-	-	103	0.981	1.0	0.9861	1.0	-	-	-	-	-	4217	36.936127295845445
GCA_000723405.1	-	-	105	1.0	1.0286	1.0	1.0175	-	-	-	-	-	5034	67.35367768908695
GCA_001854475.1	-	-	105	1.0	1.0286	1.0	1.0351	-	-	-	-	-	4030	42.88361323402464
GCA_900454665.1	-	-	105	1.0	1.0095	1.0	1.022	-	-	-	-	-	2149	30.292888860623314
GCA_004217135.1	-	-	104	0.9905	1.0481	0.9998	1.1031	-	-	-	-	-	6412	71.11490023506481
GCA_004291215.1	-	-	105	1.0	1.0095	1.0	1.0201	-	-	-	-	-	2652	39.58691527273875
GCA_001546165.1	-	-	104	0.9905	1.0	0.9824	1.0	-	-	-	-	-	1833	35.65798692136692
GCA_900445285.1	-	-	104	0.9905	1.0096	0.9824	1.0149	-	-	-	-	-	1829	36.62611655370034
GCA_001549985.1	-	-	103	0.981	1.0194	0.977	1.0128	-	-	-	-	-	3572	41.61478883354333
GCA_009812625.1	-	-	104	0.9905	1.0288	1.0	1.022	-	-	-	-	-	1921	34.41136505852924
GCA_001280255.1	-	-	102	0.9714	1.0	0.9790000000000001	1.0	-	-	-	-	-	2349	68.82688598642737
GCA_900446865.1	-	-	103	0.981	1.0	0.9861	1.0	-	-	-	-	-	4565	32.939635413270935
GCA_003201355.1	-	-	103	0.981	1.0194	0.9861	1.0433	-	-	-	-	-	4303	37.3185728232509
GCA_900445635.1	-	-	104	0.9905	1.0096	0.9814	1.0225	-	-	-	-	-	2076	39.76225630004568
GCA_003454775.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	1517	28.904247823075668
GCA_000771745.2	-	-	98	0.9333	1.0102	0.9058	1.0167	-	-	-	-	-	2367	65.04123259216783
GCA_001546155.1	-	-	104	0.9905	1.125	0.9824	1.1003	-	-	-	-	-	2183	40.849033601569474
GCA_001636975.1	-	-	102	0.9714	1.0392	0.9631	1.0519	-	-	-	-	-	8235	63.01239786627789
GCA_900457435.1	-	-	104	0.9905	1.0192	0.9863	1.0349	-	-	-	-	-	4379	36.63951656563132
GCA_007165405.1	-	-	102	0.9714	1.0098	0.9790000000000001	1.0155	-	-	-	-	-	2268	69.13173340657426
GCA_008933405.1	-	-	77	0.7333	1.039	0.6406	1.0619	-	-	-	-	-	3207	65.1743566053334
GCA_004343355.1	-	-	104	0.9905	1.0	0.9908	1.0	-	-	-	-	-	2156	31.635995007847825
GCA_000785645.1	-	-	102	0.9714	1.0294	0.966	1.0174	-	-	-	-	-	2977	53.70728378969878
GCA_005871085.1	-	-	104	0.9905	1.0192	0.9814	1.0409	-	-	-	-	-	4454	65.74700468821126
GCA_003034995.1	-	-	104	0.9905	1.0096	0.9814	1.0154	-	-	-	-	-	3149	62.7906699199609
GCA_013002765.1	-	-	104	0.9905	1.0192	0.997	1.0343	-	-	-	-	-	4059	64.45697873480646
GCA_001303765.1	-	-	91	0.8667	1.011	0.7881	1.0021	-	-	-	-	-	1060	26.103297531546836
GCA_002847985.1	-	-	104	0.9905	1.0	0.9884	1.0	-	-	-	-	-	2141	47.402452851676955
GCA_008727115.1	-	-	105	1.0	1.0095	1.0	1.0008	-	-	-	-	-	3732	59.43302034580126
GCA_003574215.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	2171	60.00040320013545
GCA_001756725.1	-	-	102	0.9714	1.0098	0.9371	1.0162	-	-	-	-	-	3163	59.39744435121441
GCA_002754935.1	-	-	104	0.9905	1.0096	0.9884	1.0212	-	-	-	-	-	2651	53.51479976042762
GCA_001610995.1	-	-	105	1.0	1.0476	1.0	1.067	-	-	-	-	-	5707	62.85920420145671
GCA_900445995.1	-	-	104	0.9905	1.0096	0.9814	1.0170000000000001	-	-	-	-	-	3353	65.81720076123658
GCA_011333575.1	-	-	100	0.9524	1.0	0.9335	1.0	-	-	-	-	-	2689	60.88874529116226
GCA_003610015.1	-	-	105	1.0	1.0095	1.0	1.0151	-	-	-	-	-	2620	50.87311957229277
GCA_001302885.1	-	-	89	0.8476	1.1236	0.9217	1.1563	-	-	-	-	-	4085	46.958101825005535
GCA_001750105.1	-	-	105	1.0	1.0286	1.0	1.0371	-	-	-	-	-	3315	58.851090720606905
GCA_007988745.1	-	-	105	1.0	1.019	1.0	1.0151	-	-	-	-	-	3969	40.639883786680066
GCA_002269625.1	-	-	104	0.9905	1.0192	0.9884	1.0322	-	-	-	-	-	4883	57.09033178156356
GCA_004342485.1	-	-	103	0.981	1.0291	0.9802	1.0382	-	-	-	-	-	5212	66.70040112006411
GCA_013760885.1	-	-	105	1.0	1.0095	1.0	1.0151	-	-	-	-	-	4369	62.31335795072267
GCA_005233695.1	-	-	103	0.981	1.0194	0.9802	1.0155	-	-	-	-	-	5628	59.3722561828589
GCA_002843895.1	-	-	104	0.9905	1.0192	0.9884	1.0153	-	-	-	-	-	4095	62.56359941092606
GCA_001449705.1	-	-	103	0.981	1.0194	0.9792	1.0326	-	-	-	-	-	6419	61.69511586997372
GCA_001644865.1	-	-	105	1.0	1.019	1.0	1.0159	-	-	-	-	-	4907	66.6789816171697
GCA_002165695.1	-	-	104	0.9905	1.0288	0.9884	1.058	-	-	-	-	-	5497	61.01131250721255
GCA_014141745.1	-	-	105	1.0	1.0381	1.0	1.0603	-	-	-	-	-	5544	62.429469265342156
GCA_000284915.1	-	-	105	1.0	2.0095	1.0	1.9469	-	-	-	-	-	8508	65.27568315839326
GCA_009898405.1	-	-	104	0.9905	1.0288	0.9884	1.0411	-	-	-	-	-	5086	57.39136600722834
GCA_900105885.1	-	-	104	0.9905	1.0096	0.9884	1.0153	-	-	-	-	-	2887	68.26276638482506
GCA_001648015.1	-	-	94	0.8952	1.1596	0.8499	1.2182	-	-	-	-	-	1585	34.07300487191819
GCA_003363795.1	-	-	105	1.0	1.0286	1.0	1.0361	-	-	-	-	-	4184	65.81506833409586
GCA_013122645.1	-	-	104	0.9905	1.0288	0.9907	1.0161	-	-	-	-	-	5564	66.49547685735568
GCA_900111715.1	-	-	105	1.0	1.0381	1.0	1.0290000000000001	-	-	-	-	-	7888	64.37353911669244
GCA_002847605.1	-	-	103	0.981	1.0	0.9599	1.0	-	-	-	-	-	1878	58.17478299483353
GCA_004319505.1	-	-	105	1.0	1.0286	1.0	1.0361	-	-	-	-	-	4159	64.01390496994108
GCA_004327955.1	-	-	103	0.981	1.0388	0.9662	1.0398	-	-	-	-	-	4408	65.07831383090983
GCA_003470885.1	-	-	105	1.0	1.0762	1.0	1.1148	-	-	-	-	-	3491	38.911775763599586
GCA_001401545.2	-	-	105	1.0	1.019	1.0	1.0151	-	-	-	-	-	4270	62.1752687063269
GCA_000494755.1	-	-	104	0.9905	1.0385	0.9998	1.0664	-	-	-	-	-	8674	70.3550773026356
GCA_900119555.1	-	-	104	0.9905	1.0385	0.9884	1.0511	-	-	-	-	-	4998	63.69997027132122
GCA_008973725.1	-	-	103	0.981	1.0	0.9693	1.0	-	-	-	-	-	3548	65.90593375009504
GCA_000168275.1	-	-	103	0.981	1.5631	0.9526	1.6716	-	-	-	-	-	5719	60.25851724884811
GCA_008125065.1	-	-	104	0.9905	1.0096	0.9884	1.0212	-	-	-	-	-	5323	60.62295367791989
GCA_011684035.1	-	-	103	0.981	1.0	0.9594	1.0	-	-	-	-	-	5527	57.10825051416085
GCA_000455325.1	-	-	104	0.9905	1.0385	0.9778	1.0398	-	-	-	-	-	6594	64.19954579165268
GCA_000374625.1	-	-	104	0.9905	1.0096	0.9884	1.0008	-	-	-	-	-	2345	58.46378294124399
GCA_000421845.1	-	-	102	0.9714	1.0294	0.9497	1.0177	-	-	-	-	-	2666	68.74730387716994
GCA_013321785.1	-	-	105	1.0	1.0571	1.0	1.0714	-	-	-	-	-	6536	58.69922284120074
GCA_003439315.1	-	-	105	1.0	1.0095	1.0	1.0151	-	-	-	-	-	2106	31.34661714319398
GCA_000429465.1	-	-	101	0.9619	1.0099	0.9525	1.0154	-	-	-	-	-	4024	43.27400764130279
GCA_005502435.1	-	-	105	1.0	1.019	1.0	1.0008	-	-	-	-	-	2258	60.06953608717252
GCA_009749385.1	-	-	102	0.9714	1.0	0.9314	1.0	-	-	-	-	-	3853	70.51852078804981
GCA_013317445.1	-	-	103	0.981	1.0097	0.9813	1.0239	-	-	-	-	-	5359	56.61484257640545
GCA_001613145.1	-	-	104	0.9905	1.0481	0.9998	1.0526	-	-	-	-	-	7590	67.63617121414886
GCA_004001905.1	-	-	103	0.981	1.0	0.9813	1.0	-	-	-	-	-	6328	61.72504257934599
GCA_009601405.1	-	-	103	0.981	1.0097	0.9813	1.0123	-	-	-	-	-	6728	60.72529769994588
GCA_000424685.1	-	-	103	0.981	1.0485	0.9745	1.062	-	-	-	-	-	2968	62.4009122309807
GCA_001510895.1	-	-	103	0.981	1.0583	0.9761	1.0798	-	-	-	-	-	7690	62.22031025303051
GCA_008370325.1	-	-	104	0.9905	1.0192	0.9814	1.0383	-	-	-	-	-	5928	59.18611343374734
GCA_004305605.1	-	-	103	0.981	1.0194	0.9813	1.0337	-	-	-	-	-	7327	60.16378643894955
GCA_002738225.1	-	-	105	1.0	1.0095	1.0	1.021	-	-	-	-	-	3077	51.67897344242079
GCA_003207815.1	-	-	105	1.0	1.019	1.0	1.0255	-	-	-	-	-	3614	58.499894634781604
GCA_000330725.2	-	-	102	0.9714	1.0098	0.9618	1.0152	-	-	-	-	-	4207	47.70622213312117
GCA_001664425.1	-	-	104	0.9905	1.0385	0.9814	1.065	-	-	-	-	-	6582	60.21638706645958
GCA_004362145.1	-	-	105	1.0	1.0286	1.0	1.0406	-	-	-	-	-	3496	43.456120920905526
GCA_007989205.1	-	-	103	0.981	1.0194	0.9743	1.04	-	-	-	-	-	5364	65.64764433635327
GCA_002723895.1	-	-	104	0.9905	1.0	0.9884	1.0	-	-	-	-	-	3412	54.50636286575515
GCA_008806425.1	-	-	102	0.9714	1.0196	0.972	1.0346	-	-	-	-	-	6592	61.06223939077193
GCA_009811675.1	-	-	104	0.9905	1.0	0.9998	1.0	-	-	-	-	-	4049	62.09111472738616
GCA_001644045.1	-	-	100	0.9524	1.04	0.9662	1.0435	-	-	-	-	-	4605	50.97535036454854
GCA_003387375.1	-	-	105	1.0	1.0286	1.0	1.0406	-	-	-	-	-	3530	44.69990519192717
GCA_002108935.1	-	-	103	0.981	1.0388	0.9813	1.0761	-	-	-	-	-	10021	61.612081959846485
GCA_000178815.2	-	-	103	0.981	1.0097	0.9743	1.0241	-	-	-	-	-	4478	65.21910174963591
GCA_006539705.1	-	-	105	1.0	1.0095	1.0	1.0235	-	-	-	-	-	3264	59.31201660380493
GCA_003096615.1	-	-	102	0.9714	1.0196	0.9602	1.0406	-	-	-	-	-	6280	70.39033219908457
GCA_004346035.1	-	-	105	1.0	1.0095	1.0	1.0131	-	-	-	-	-	3422	61.40952431128704
GCA_001183745.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	2663	53.281152669068064
GCA_000511175.1	-	-	97	0.9238	1.0206	0.9838	1.0224	-	-	-	-	-	2929	38.57809001395207
GCA_001580815.1	-	-	104	0.9905	1.0192	1.0	1.0121	-	-	-	-	-	2570	58.72731605347114
GCA_000153125.2	-	-	105	1.0	1.019	1.0	1.021	-	-	-	-	-	3927	57.663354030700624
GCA_011927685.1	-	-	105	1.0	1.0095	1.0	1.0167	-	-	-	-	-	4047	54.40051850750378
GCA_900172235.1	-	-	104	0.9905	1.0192	0.9814	1.0325	-	-	-	-	-	3591	65.47457894657308
GCA_900049265.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	3004	39.5595539888585
GCA_001648595.1	-	-	104	0.9905	1.0096	0.9907	1.0153	-	-	-	-	-	3623	39.17151470313057
GCA_900639845.1	-	-	105	1.0	1.0	1.0	1.0	-	-	-	-	-	3009	44.37317876171288
