	bayesian:non-Anaerobe:prob	bayesian:non-Anaerobe:label	Davin:non-Anaerobe:prob	Davin:non-Anaerobe:label	microtraits:non-Anaerobe:prob	microtraits:non-Anaerobe:label	Traitar:non-Anaerobe:prob	Traitar:non-Anaerobe:label	bacdivAI:non-Anaerobe:prob	bacdivAI:non-Anaerobe:label	top40:non-Anaerobe:prob	top40:non-Anaerobe:label
Acid32	0.9902932916172286	1	0.0004826431104447	0	NA	1	NA	0	42.87	0	0.0935268380801876	0
Acid33	0.999999953399162	1	0.9531126022338868	1	NA	1	NA	0	66.15	1	0.9871415760000788	1
Acid34	0.9999999998815926	1	0.956723928451538	1	NA	1	NA	0	67.82	1	0.8687669115059758	1
Acid35	0.9999999999933152	1	0.008876190520823	0	NA	0	NA	1	50.71	1	0.2347418053736423	0
Acid36	0.9999995843336228	1	0.9998369216918944	1	NA	1	NA	0	85.81	1	0.9594479771190398	1
Acid37	0.9999990849654684	1	0.9974416494369508	1	NA	1	NA	1	76.0	1	0.9005259742510399	1
Acid38	0.9999779304649252	1	0.9998630285263062	1	NA	1	NA	1	92.77	1	0.9393113109266557	1
Acid39	0.9999999998533782	1	0.0001414175494574	0	NA	0	NA	1	30.90000000000001	0	0.2611650702308472	0
Acid4	0.9999987267714188	1	0.6454923152923584	1	NA	1	NA	1	43.49	1	0.2705824308484973	0
Acid40	0.9999999850953702	1	0.9996008276939392	1	NA	1	NA	0	86.88	1	0.8159112663294323	1
Acid5	0.9996952509976268	1	0.9866378307342528	1	NA	0	NA	1	59.58	1	0.1289667986086077	0
Acid6	0.9999999994434764	1	0.4737311601638794	0	NA	0	NA	1	65.92	1	0.1634255649805035	0
Acid7	0.9216816832168075	1	0.914478361606598	1	NA	0	NA	1	77.54	1	0.2441848072360874	0
Acid8	1.6098421363772543e-09	0	0.0007171616307459	0	NA	0	NA	0	14.650000000000006	0	0.0090189111961256	0
Acid9	0.0047332772057572	0	0.0006606520619243	0	NA	0	NA	1	40.68	0	0.2046180906735073	0
Acti10	0.999906790667066	1	0.9999984502792358	1	NA	1	NA	1	89.25	1	0.9435494787371648	1
Acti11	0.9999999936882312	1	0.8864554762840271	1	NA	1	NA	1	68.13	1	0.8857013700342259	1
Acti12	0.9996834718737768	1	0.9971989393234252	1	NA	1	NA	1	92.21	1	0.9734742871146508	1
Acti13	0.9999999999410824	1	0.9925107955932616	1	NA	0	NA	0	68.63	1	0.6714338851449537	1
Acti14	0.9999999998730046	1	0.9846560955047609	1	NA	1	NA	1	77.07	1	0.793196322530562	1
Acti15	0.9999960575619784	1	0.9990423321723938	1	NA	1	NA	1	67.78	1	0.6552214672336456	1
Acti16	0.9999999999895924	1	0.9902950525283812	1	NA	1	NA	0	73.32	1	0.8365503806879594	1
Acti18	0.999999999995134	1	0.9920645356178284	1	NA	0	NA	1	77.59	1	0.7825794522760747	1
Acti19	0.9999999992695646	1	0.9963151812553406	1	NA	1	NA	1	66.15	1	0.4766951958246427	0
Acti2	8.276144697202799e-15	0	4.32756023656e-05	0	NA	0	NA	0	9.650000000000006	0	0.0528770447245375	0
Acti20	1.1519168433052312e-20	0	1.5127287952e-05	0	NA	0	NA	0	4.109999999999999	0	0.002992421164647	0
Acti21	0.999999676848196	1	0.9999362230300904	1	NA	1	NA	1	94.23	1	0.959036574567132	1
Acti22	0.9999995945355556	1	0.3620635867118835	0	NA	0	NA	1	53.74	1	0.062173095473786	0
Acti23	0.999999999844859	1	0.9588818550109864	1	NA	1	NA	1	71.33	1	0.4702195188062011	0
Acti24	6.482169413102923e-13	0	2.56994935625e-05	0	NA	0	NA	0	15.010000000000003	0	0.101602866790868	0
Acti25	0.999999865255418	1	0.9993351101875304	1	NA	1	NA	0	69.88	1	0.5638241657960299	1
Acti26	0.999999921170063	1	0.8543773889541626	1	NA	0	NA	1	66.18	1	0.5982665581530905	1
Acti27	2.4748368768899904e-12	0	1.999432015509228e-06	0	NA	0	NA	1	6.019999999999996	0	0.0092185927215749	0
Acti28	0.6017541410102201	1	0.9999985694885254	1	NA	1	NA	0	95.37	1	0.9858200512514784	1
Acti29	3.6759864250520266e-22	0	1.465368882236362e-06	0	NA	0	NA	1	2.7900000000000063	0	0.0183575558398958	0
Acti3	0.9999999956806764	1	0.973021388053894	1	NA	0	NA	0	83.2	1	0.6553758281052225	1
Acti30	1.191170221100439e-23	0	2.1852144982403843e-06	0	NA	0	NA	1	2.230000000000004	0	0.0098997095565671	0
Acti31	0.9999980604276234	1	0.9977487921714784	1	NA	1	NA	0	72.04	1	0.6018256312307211	1
Acti32	0.8027259553686563	1	0.9994211196899414	1	NA	1	NA	1	86.87	1	0.9699925555261596	1
Acti33	0.9999999907451954	1	0.9980472326278688	1	NA	1	NA	1	84.25	1	0.8231421937057393	1
Acti34	0.999999912749602	1	0.9996941089630128	1	NA	1	NA	1	88.61	1	0.9494442311041206	1
Acti35	0.9999991497648056	1	0.9999475479125975	1	NA	1	NA	1	92.3	1	0.800675001225756	1
Acti36	0.7109670648717024	1	0.9999938011169434	1	NA	1	NA	1	96.47	1	0.967946734243074	1
Acti37	0.9999998289643892	1	0.9999374151229858	1	NA	1	NA	1	95.12	1	0.9663043183911878	1
Acti38	0.999999910730662	1	0.9998090863227844	1	NA	0	NA	1	87.98	1	0.9156781316115428	1
Acti39	1.5785051979460868e-15	0	4.498911110317749e-08	0	NA	0	NA	1	19.81	0	0.0111663378912282	0
Acti4	0.9999999999739654	1	0.99881774187088	1	NA	1	NA	1	78.17	1	0.5076605429405353	1
Acti40	0.99999999996703	1	0.999321222305298	1	NA	1	NA	0	75.14	1	0.90794545738558	1
Acti41	0.999999830948778	1	0.9918227791786194	1	NA	1	NA	1	80.08	1	0.9661002705367188	1
Acti42	0.9999995228451066	1	0.9984052777290344	1	NA	0	NA	1	75.42	1	0.7561149209346495	1
Acti43	0.999997175614846	1	0.9999918937683104	1	NA	1	NA	1	93.19	1	0.986105830062022	1
Acti44	0.9999999999736	1	0.9010092616081238	1	NA	1	NA	1	55.48	1	0.9785947539348204	1
Acti45	0.9999999986158796	1	0.998258650302887	1	NA	1	NA	1	86.21	1	0.940333281744328	1
Acti46	0.999999999179368	1	0.999861478805542	1	NA	1	NA	0	91.02	1	0.9807635590335814	1
Acti47	0.9999999997942032	1	0.9992477893829346	1	NA	1	NA	1	73.51	1	0.9154371439507412	1
Acti48	1.0	1	0.9670026898384094	1	NA	1	NA	1	58.48	1	0.9262526570228512	1
Acti49	0.9994284697483928	1	0.9999837875366212	1	NA	1	NA	0	86.66	1	0.965101205348624	1
Acti5	4.839355362443995e-09	0	4.710082066594623e-07	0	NA	0	NA	1	10.299999999999995	0	0.0851708308977399	0
Acti50	0.9999923353419012	1	0.9993404746055604	1	NA	1	NA	0	93.26	1	0.9654124004071684	1
Acti51	1.957294284662469e-19	0	9.852992661762985e-07	0	NA	0	NA	1	4.769999999999996	0	0.0117704013651961	0
Acti52	0.9999999999999908	1	0.9773612022399902	1	NA	1	NA	0	56.4	1	0.9487070416609216	1
Acti6	0.9999999694164808	1	0.7840533256530762	1	NA	1	NA	1	74.98	1	0.6062865674994052	1
Acti7	0.9999999716136244	1	0.9943286776542664	1	NA	0	NA	1	84.96	1	0.7479875444229869	1
Acti8	6.028968195250003e-10	0	0.0001485422981204	0	NA	0	NA	0	21.260000000000005	0	0.0930491722775941	0
Acti9	4.2576504650130763e-16	0	8.19181514088e-05	0	NA	0	NA	0	10.480000000000004	0	0.0019751880657755	0
Aero1	2.7810038256509533e-16	0	5.297290954331402e-06	0	NA	0	NA	0	9.620000000000005	0	0.0134611038859272	0
Aqui1	3.654371814872602e-08	0	0.0086230533197522	0	NA	0	NA	0	10.560000000000002	0	0.0396827204338504	0
Aqui2	8.619341230918868e-10	0	0.0002350291470065	0	NA	0	NA	0	7.760000000000005	0	0.0235878247419661	0
Aqui3	5.433410774062712e-14	0	3.072553340643936e-07	0	NA	0	NA	0	1.25	0	0.0150300709905088	0
Aqui4	0.0002327876639369	0	0.3645393848419189	0	NA	0	NA	1	12.370000000000005	0	0.1395336469351365	0
Aqui5	1.3703307983831342e-10	0	0.0004474815505091	0	NA	0	NA	0	12.150000000000006	0	0.0186040309655962	0
Aqui6	7.109136433993751e-06	0	0.0016444848151877	0	NA	0	NA	0	16.090000000000003	0	0.04820447523952	0
Arma11	0.9917752236753168	1	0.0944312065839767	0	NA	1	NA	0	35.91	0	0.2265677219439583	0
Arma12	0.9999999852339458	1	0.955564260482788	1	NA	0	NA	0	68.99	1	0.371500180743463	0
Arma13	0.9999115155294858	1	0.912409484386444	1	NA	1	NA	1	54.18	1	0.6751162001317538	1
Arma14	4.907779209870326e-10	0	2.55999129876e-05	0	NA	0	NA	0	6.219999999999999	0	0.004776394736937	0
Arma15	0.9991240556215484	1	0.885083794593811	1	NA	1	NA	1	51.8	1	0.5070156263223278	1
Arma16	0.9999991370755802	1	0.9972835779190063	1	NA	0	NA	0	77.76	1	0.4312869940231933	0
Arma3	0.9996672123702804	1	0.9974316954612732	1	NA	0	NA	1	63.16	1	0.2526141211661231	0
Arma4	4.003751517703232e-05	0	2.68049443548e-05	0	NA	0	NA	0	8.5	0	0.0198431888827228	0
Arma6	0.999996985937862	1	0.9986925721168518	1	NA	0	NA	1	79.53	1	0.9370306728369712	1
Arma7	0.1051449264864557	0	0.0035882554948329	0	NA	0	NA	0	24.090000000000003	0	0.1011759174568598	0
Arma9	0.6661426333947714	1	0.0342365093529224	0	NA	1	NA	0	47.82	1	0.1576847453711456	0
Aure1	3.328443657793487e-21	0	5.092529590910999e-06	0	NA	0	NA	0	3.049999999999997	0	0.0043604194829181	0
Aure2	3.1681628461945e-17	0	7.24802084732e-05	0	NA	0	NA	1	19.450000000000003	0	0.0135341422207914	0
Aure3	4.2148132938999706e-14	0	1.863439479166118e-06	0	NA	0	NA	0	7.090000000000003	0	0.0101849806776504	0
B130X1	1.0486455373563896e-16	0	1.37178194563e-05	0	NA	0	NA	1	5.780000000000001	0	0.0202764664699104	0
BMS3X1	2.000304943760433e-09	0	7.961890560181928e-07	0	NA	0	NA	1	4.6200000000000045	0	0.005511963898821	0
Bact1	0.690524044244837	1	0.9948601722717284	1	NA	0	NA	1	53.5	1	0.3925735354291905	0
Bact10	0.9999999998664856	1	0.9309526681900024	1	NA	0	NA	0	65.65	1	0.7640338103894346	1
Bact11	0.9999977574157588	1	0.99498051404953	1	NA	1	NA	0	60.25	1	0.1877099893207049	0
Bact12	0.9999977212747212	1	0.2399819046258926	0	NA	1	NA	1	62.23	1	0.5440152709025549	1
Bact13	0.9424624959045034	1	0.9861710667610168	1	NA	0	NA	1	58.82	1	0.3827635608728239	0
Bact14	0.9999941874371188	1	0.0081898923963308	0	NA	0	NA	1	50.19	1	0.0948899065656596	0
Bact16	0.9999999989753728	1	0.9243329167366028	1	NA	1	NA	1	78.1	1	0.646492461400786	1
Bact17	0.9994804259203232	1	0.9931334853172302	1	NA	0	NA	0	58.77	1	0.2891960077056821	0
Bact18	0.2380874702430247	0	0.0006864062161184	0	NA	0	NA	1	33.900000000000006	0	0.0196691865153798	0
Bact19	0.9999999861329544	1	0.9999957084655762	1	NA	0	NA	1	88.26	1	0.9645188321304294	1
Bact2	0.9999999999935312	1	0.9925461411476136	1	NA	0	NA	1	67.11	1	0.1674205565291762	0
Bact20	0.9990840171115156	1	0.0883431583642959	0	NA	1	NA	1	47.72	1	0.1337584376914151	0
Bact21	0.985558732559454	1	9.4420654932e-05	0	NA	0	NA	1	35.599999999999994	0	0.0638458207706966	0
Bact22	0.0103955180989587	0	0.0013561770319938	0	NA	0	NA	0	33.209999999999994	0	0.0240572609212628	0
Bact23	0.9999180008514807	1	7.8195844253e-05	0	NA	1	NA	0	32.16	0	0.0372984687159207	0
Bact24	0.9999922568968056	1	0.8415481448173523	1	NA	1	NA	0	57.88	1	0.7427137775306096	1
Bact25	0.9999918575021391	1	0.9992238283157348	1	NA	1	NA	1	74.07	1	0.7916181233527788	1
Bact27	0.9999999996700568	1	0.9997349381446838	1	NA	0	NA	1	93.58	1	0.9806291013400568	1
Bact28	0.999999697772043	1	0.0296820569783449	0	NA	1	NA	1	58.83	1	0.3706483550635668	0
Bact29	0.9844790445693208	1	8.95206685527e-05	0	NA	1	NA	1	24.19	0	0.4610816636186472	0
Bact3	0.999999999019144	1	0.4821985065937042	0	NA	0	NA	1	65.33	1	0.1342928105938868	0
Bact30	0.1036663898129345	0	0.004493040498346	0	NA	0	NA	1	33.349999999999994	0	0.0298495619156161	0
Bact31	0.0050542321295092	0	5.29060453118e-05	0	NA	1	NA	1	7.920000000000002	0	0.0843493099335582	0
Bact32	0.0617302780241323	0	0.0014587860787287	0	NA	0	NA	1	37.67	0	0.0526935336737967	0
Bact33	0.9999999999981034	1	0.9998496770858764	1	NA	1	NA	1	77.6	1	0.9713083630339364	1
Bact34	0.9999999770426902	1	0.0024736076593399	0	NA	0	NA	1	53.39	1	0.1178180884006147	0
Bact35	0.9999999999374604	1	0.9999624490737916	1	NA	1	NA	0	85.52	1	0.8741388673387233	1
Bact36	0.999999999999707	1	0.9998273253440856	1	NA	1	NA	1	95.05	1	0.8971263092962246	1
Bact37	0.99999999999617	1	0.999958634376526	1	NA	1	NA	1	81.97	1	0.8122162989276572	1
Bact38	0.0022713086108032	0	4.036799055029405e-06	0	NA	1	NA	1	18.47	0	0.0269146548872539	0
Bact39	0.9999999999597546	1	0.6054819226264954	1	NA	1	NA	0	75.73	1	0.8554301647158814	1
Bact4	0.9944499934584006	1	0.0183041766285896	0	NA	1	NA	1	51.87	1	0.0334102769121578	0
Bact40	0.9999999999932194	1	0.9999009370803832	1	NA	1	NA	0	90.58	1	0.9788362195410688	1
Bact41	0.9999999994896218	1	0.9999761581420898	1	NA	1	NA	1	92.68	1	0.98516864835878	1
Bact42	0.9999999999996192	1	0.9998952150344848	1	NA	1	NA	1	78.2	1	0.9266272073069024	1
Bact43	0.0001162428365613	0	0.6864439249038696	1	NA	0	NA	1	8.599999999999994	0	0.5059109458839267	1
Bact44	0.9999999998273924	1	0.9998979568481444	1	NA	1	NA	1	93.85	1	0.9673301636631976	1
Bact5	0.9999999998463528	1	0.8353345394134521	1	NA	1	NA	0	75.68	1	0.5106627263926433	1
Bact6	0.9999999999977834	1	0.9983552098274232	1	NA	1	NA	1	74.8	1	0.7931227082416216	1
Bact7	0.0005971964555909	0	0.0277674943208694	0	NA	1	NA	1	26.75	0	0.0398517664314788	0
Bact8	0.0016690992254948	0	0.0190365444868803	0	NA	0	NA	1	25.65000000000001	0	0.0426282160633496	0
Bact9	0.9824474599000876	1	7.49909740989e-05	0	NA	0	NA	0	32.959999999999994	1	0.5717617037659106	1
Bdell10	0.6591448533567155	1	0.1728347986936569	0	NA	1	NA	0	33.129999999999995	0	0.419820251501501	0
Bdell11	0.9999999700589782	1	0.997669279575348	1	NA	1	NA	1	58.93	1	0.3917700488487367	0
Bdell12	0.9999999999470148	1	0.9766517281532288	1	NA	0	NA	1	78.04	1	0.98516864835878	1
Bdell13	0.9999999884800884	1	0.999409317970276	1	NA	0	NA	1	64.16	1	0.9489854269632276	1
Bdell14	0.9979068080616	1	0.0011525363661348	0	NA	0	NA	1	36.29	0	0.2050849246384023	0
Bdell15	0.0029548853161304	0	1.27149733089e-05	0	NA	0	NA	1	19.120000000000005	0	0.0382262297294249	0
Bdell16	0.999999999999994	1	0.9802396893501282	1	NA	1	NA	1	68.73	1	0.9172944321316504	1
Bdell17	0.9999999999988683	1	0.9927099943161012	1	NA	1	NA	1	70.45	1	0.9008658894620792	1
Bdell2	1.85596669084203e-06	0	0.1018498241901397	0	NA	0	NA	1	30.180000000000007	0	0.0905958385382242	0
Bdell3	0.9999999999985422	1	0.9784627556800842	1	NA	1	NA	1	79.25	1	0.9759784235685006	1
Bdell4	0.9999590703467848	1	0.0009997402084991	0	NA	0	NA	0	32.56999999999999	0	0.3668843289567925	0
Bdell5	0.999999999916062	1	0.9973387122154236	1	NA	1	NA	1	65.11	1	0.926025383605806	1
Bdell6	0.9999990486919558	1	0.9968063831329346	1	NA	0	NA	1	61.51	1	0.8572496155019342	1
Bdell7	0.9999999984643556	1	0.9922106266021729	1	NA	0	NA	0	70.32	1	0.8855099351680809	1
Bdell9	0.9999962416708996	1	0.9902169704437256	1	NA	0	NA	1	66.77	1	0.8869610165233203	1
BdellC1	0.9998733824529018	1	0.9053808450698853	1	NA	0	NA	1	53.82	1	0.848836305138018	1
BdellC2	0.9999694927129572	1	0.998027503490448	1	NA	0	NA	1	62.85	1	0.6932038501392406	1
Bipo1	0.0877559056468847	0	0.0186950992792844	0	NA	0	NA	1	30.69	0	0.615207228051328	1
Bipo2	1.56519165649182e-17	0	1.846175763375868e-07	0	NA	0	NA	0	4.640000000000001	0	0.0023821494500241	0
CG267X1	4.983061087133044e-14	0	2.41641064349e-05	0	NA	0	NA	0	10.409999999999997	0	0.0177628692579293	0
CG294X1	0.1440902167812371	0	0.0001231269416166	0	NA	0	NA	0	20.760000000000005	0	0.1992892466834591	0
CSP1X1	0.9999999521789242	1	0.0556112602353096	0	NA	1	NA	1	51.55	1	0.1395133038186887	0
Calda1	4.3645413996883744e-24	0	3.357327500452812e-07	0	NA	0	NA	0	3.930000000000007	0	0.001865892334256	0
Calda2	6.877556767256113e-23	0	1.7826688463173923e-06	0	NA	0	NA	0	2.9099999999999966	0	0.0016301311975278	0
Caldit1	0.999998885443795	1	0.0025494010187685	0	NA	0	NA	0	52.51	1	0.1695888493569009	0
Caldit2	0.9999983055356126	1	0.2512640357017517	0	NA	1	NA	1	49.94	1	0.2769060233817281	0
Caldit3	0.974422679700376	1	4.591291599354008e-06	0	NA	1	NA	1	42.33	0	0.0242940690787857	0
Camp1	0.0009706695143122	0	0.0001938725472427	0	NA	0	NA	0	9.040000000000006	0	0.1796321228536173	0
Camp10	0.0006250009090256	0	7.70625774748e-05	0	NA	1	NA	1	5.049999999999997	0	0.110884211705551	0
Camp11	4.356917933762983e-07	0	1.27291086755e-05	0	NA	1	NA	1	5.909999999999997	0	0.1405024088112769	0
Camp12	7.059920277460792e-06	0	1.3895543816e-05	0	NA	1	NA	0	5.609999999999999	0	0.0568508457960701	0
Camp13	0.0008496134920436	0	2.89191320916e-05	0	NA	1	NA	1	6.590000000000003	0	0.1270746443656911	0
Camp14	0.0002865307467358	0	7.77337045292e-05	0	NA	1	NA	1	12.430000000000009	0	0.0503079947455975	0
Camp15	1.0054208730753082e-07	0	2.1976891275699018e-06	0	NA	1	NA	1	4.3700000000000045	0	0.0143651621579344	0
Camp16	0.001227846452738	0	0.0882343798875808	0	NA	1	NA	1	8.409999999999997	0	0.5509814241837547	1
Camp2	0.0055619501798447	0	0.0549431927502155	0	NA	1	NA	1	12.939999999999998	0	0.3494863290321768	0
Camp3	0.0001621474830564	0	0.00013393064728	0	NA	1	NA	1	13.689999999999998	0	0.3486472999615895	0
Camp4	0.998926878981469	1	0.0261943843215703	0	NA	1	NA	0	17.939999999999998	1	0.2941511129970897	0
Camp5	1.90784148615039e-08	0	8.782135410001501e-06	0	NA	1	NA	1	3.230000000000004	0	0.0535185840183166	0
Camp6	2.803132886649029e-12	0	7.013116487541994e-08	0	NA	0	NA	0	5.109999999999999	0	0.0072145695126582	0
Camp7	1.191170221100439e-23	0	2.1852144982403843e-06	0	NA	0	NA	0	2.230000000000004	0	0.0098997095565671	0
Camp9	1.5261504745172838e-16	0	8.100472115302183e-08	0	NA	0	NA	0	2.2900000000000063	0	0.0066728713643076	0
Chlo10	0.9999999981853182	1	0.950466811656952	1	NA	1	NA	1	75.52	1	0.9302350290258392	1
Chlo11	6.772192206191257e-12	0	2.54738351941e-05	0	NA	0	NA	0	14.870000000000005	0	0.0065949776648475	0
Chlo12	0.9999606345832712	1	0.6133157014846802	1	NA	1	NA	1	74.06	1	0.9669370172552556	1
Chlo13	0.9999998160662849	1	0.0271236188709735	0	NA	0	NA	1	35.53	1	0.5607101741397854	1
Chlo14	0.999999999922668	1	0.9094598293304444	1	NA	0	NA	0	57.52	1	0.5522729507584924	1
Chlo15	4.1742957697270576e-10	0	7.124865987861995e-06	0	NA	0	NA	0	8.239999999999995	0	0.0171081363938347	0
Chlo16	0.9987254560437352	1	0.0464914813637733	0	NA	0	NA	0	54.02	1	0.2458759179010369	0
Chlo17	0.9999999942043248	1	0.0899893566966056	0	NA	1	NA	1	52.69	1	0.0903789020066394	0
Chlo18	0.999999999941862	1	0.0157952029258012	0	NA	1	NA	1	63.33	1	0.3259995026564555	0
Chlo19	0.9999999999329466	1	0.9996015429496764	1	NA	1	NA	1	67.15	1	0.6582536038605629	1
Chlo20	1.770376735608718e-08	0	1.901254790936946e-06	0	NA	0	NA	0	17.540000000000006	0	0.0462802870081032	0
Chlo21	0.999999992254847	1	0.940963625907898	1	NA	1	NA	0	58.84	1	0.4544097754522164	0
Chlo22	0.5041440440217061	1	0.3532342314720154	0	NA	1	NA	1	47.04	1	0.1597799507782356	0
Chlo23	3.3466141900111434e-05	0	8.983959560282528e-06	0	NA	0	NA	0	25.840000000000003	0	0.0456858380594151	0
Chlo24	0.0399171645300792	0	3.955992724513635e-07	0	NA	1	NA	0	34.8	0	0.0845693465754418	0
Chlo25	0.999999999990025	1	0.9631099700927734	1	NA	0	NA	1	79.56	1	0.755999015184175	1
Chlo26	1.660001144434946e-09	0	1.3816313185e-05	0	NA	0	NA	0	14.86	0	0.0457013137430437	0
Chlo27	0.9999999986506044	1	0.9761886596679688	1	NA	1	NA	1	83.8	1	0.964251183081368	1
Chlo28	2.514254577528637e-05	0	3.18609704663686e-06	0	NA	0	NA	1	23.090000000000003	0	0.0071584610569641	0
Chlo29	0.498686876349288	0	6.142880010884255e-06	0	NA	0	NA	0	37.73	0	0.2605707437918029	0
Chlo30	0.9999999999983892	1	0.0056932442821562	0	NA	0	NA	1	40.3	0	0.3214428881940733	0
Chlo31	0.9999999999407312	1	0.9855141639709472	1	NA	1	NA	1	71.14	1	0.7402127505908996	1
Chlo32	0.9684195328948846	1	0.0868782326579094	0	NA	1	NA	1	69.59	1	0.7016186036490056	1
Chlo33	0.9999468916703068	1	0.0140778552740812	0	NA	1	NA	1	54.73	1	0.6273072557412499	1
Chlo34	0.9999999999952208	1	0.977330446243286	1	NA	1	NA	1	71.48	1	0.804891384027105	1
Chlo35	0.9999997682401688	1	0.4373306930065155	0	NA	1	NA	0	56.92	1	0.2206662394831245	0
Chlo36	0.9999998342274856	1	0.8723924160003662	1	NA	1	NA	1	64.82	1	0.794292008601135	1
Chlo37	0.9999976638776288	1	0.9104685187339784	1	NA	0	NA	0	55.53	1	0.4711071921478495	0
Chlo38	0.9999999967228346	1	0.9969549179077148	1	NA	1	NA	1	71.12	1	0.6416112211523072	1
Chlo39	2.6667699752400238e-11	0	8.374207027372904e-06	0	NA	0	NA	1	6.140000000000001	0	0.0058062330313644	0
Chlo4	0.9999999375865692	1	0.6022092700004578	1	NA	1	NA	0	67.08	1	0.1157509610226688	0
Chlo40	0.9999999973296148	1	0.1703783273696899	0	NA	0	NA	1	64.33	1	0.5879922296347373	1
Chlo41	1.324415680524892e-14	0	2.3596026039740536e-06	0	NA	0	NA	0	4.599999999999994	0	0.0205727569257406	0
Chlo42	0.9999999990914522	1	0.9994035959243774	1	NA	1	NA	1	74.03	1	0.8583480849323867	1
Chlo43	0.999998523211959	1	0.911657452583313	1	NA	1	NA	1	62.53	1	0.9473587435361276	1
Chlo44	0.9999998433373296	1	0.8520451784133911	1	NA	1	NA	1	58.07	1	0.7214318761083369	1
Chlo45	0.999999995830718	1	1.62551368703e-05	0	NA	1	NA	1	28.40000000000001	0	0.875408181032614	1
Chlo46	0.999999999987241	1	0.000281998043647	0	NA	1	NA	1	21.15000000000001	0	0.9833421304634566	1
Chlo47	0.9999999708307112	1	0.0214691087603569	0	NA	0	NA	1	59.4	1	0.6731925433319967	1
Chlo48	0.995835486917013	1	0.0043561714701354	0	NA	0	NA	1	42.14	0	0.7088382361459897	1
Chlo5	1.9789384681939946e-18	0	4.045956302434206e-06	0	NA	0	NA	0	8.049999999999997	0	0.0137239904122997	0
Chlo6	0.951970873418502	1	0.0001734200777718	0	NA	0	NA	0	44.52	1	0.0478291731709368	0
Chlo7	2.8194289891806094e-11	0	0.0013927328400313	0	NA	0	NA	0	13.900000000000006	0	0.0594962355015547	0
