DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
SEPARATOR COMMA
#SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL,LR prediction

#dataset color (can be changed later)
COLOR,#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
#COLOR_BRANCHES,0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE Dataset_legend
#LEGEND_SHAPES 1 1 2 2
#LEGEND_COLORS #ff0000 #00ff00 rgba(0,255,0,0.5) #0000ff
#LEGEND_LABELS value1 value2 value3 value4

LEGEND_TITLE,LR prediction
GB_GCA_016235265.1,#D65DB1,Anaerobe
GB_GCA_013003415.1,#D65DB1,Anaerobe
GB_GCA_020349025.1,#D65DB1,Anaerobe
GB_GCA_024276305.1,#D65DB1,Anaerobe
GB_GCA_002686955.1,#D65DB1,Anaerobe
GB_GCA_019347645.1,#D65DB1,Anaerobe
GB_GCA_013696835.1,#FFC75F,Aerobe
GB_GCA_002084765.1,#D65DB1,Anaerobe
GB_GCA_003697105.1,#D65DB1,Anaerobe
GB_GCA_022562655.1,#FFC75F,Aerobe
GB_GCA_016932915.1,#D65DB1,Anaerobe
GB_GCA_001303705.1,#D65DB1,Anaerobe
GB_GCA_021161905.1,#D65DB1,Anaerobe
GB_GCA_004376575.1,#D65DB1,Anaerobe
GB_GCA_001780385.1,#D65DB1,Anaerobe
GB_GCA_022616075.1,#D65DB1,Anaerobe
GB_GCA_002010665.1,#D65DB1,Anaerobe
GB_GCA_023621955.1,#D65DB1,Anaerobe
GB_GCA_002327305.1,#D65DB1,Anaerobe
GB_GCA_020349885.1,#D65DB1,Anaerobe
GB_GCA_004356015.1,#D65DB1,Anaerobe
GB_GCA_003223995.1,#D65DB1,Anaerobe
GB_GCA_016195325.1,#D65DB1,Anaerobe
GB_GCA_021325275.1,#D65DB1,Anaerobe
GB_GCA_016179055.1,#D65DB1,Anaerobe
GB_GCA_016210925.1,#D65DB1,Anaerobe
GB_GCA_903847975.1,#D65DB1,Anaerobe
GB_GCA_004356105.1,#D65DB1,Anaerobe
GB_GCA_024278345.1,#D65DB1,Anaerobe
GB_GCA_016188575.1,#D65DB1,Anaerobe
GB_GCA_016934675.1,#D65DB1,Anaerobe
GB_GCA_016932295.1,#D65DB1,Anaerobe
GB_GCA_015661865.1,#D65DB1,Anaerobe
GB_GCA_002402635.1,#D65DB1,Anaerobe
GB_GCA_004356685.1,#D65DB1,Anaerobe
GB_GCA_022564935.1,#D65DB1,Anaerobe
GB_GCA_014075295.1,#D65DB1,Anaerobe
GB_GCA_024275095.1,#D65DB1,Anaerobe
GB_GCA_025062045.1,#D65DB1,Anaerobe
GB_GCA_020722945.1,#D65DB1,Anaerobe
GB_GCA_003695505.1,#FFC75F,Aerobe
GB_GCA_003252195.1,#D65DB1,Anaerobe
GB_GCA_022599575.1,#FFC75F,Aerobe
GB_GCA_002632265.1,#D65DB1,Anaerobe
GB_GCA_021297975.1,#FFC75F,Aerobe
GB_GCA_001897475.1,#FFC75F,Aerobe
GB_GCA_016722515.1,#FFC75F,Aerobe
GB_GCA_015487905.1,#D65DB1,Anaerobe
GB_GCA_001872725.1,#D65DB1,Anaerobe
GB_GCA_007571095.1,#FFC75F,Aerobe
GB_GCA_020027215.1,#FFC75F,Aerobe
GB_GCA_014238345.1,#FFC75F,Aerobe
GB_GCA_015163845.1,#FFC75F,Aerobe
GB_GCA_001750645.1,#FFC75F,Aerobe
GB_GCA_002432655.1,#D65DB1,Anaerobe
GB_GCA_003696645.1,#FFC75F,Aerobe
GB_GCA_002352565.1,#FFC75F,Aerobe
GB_GCA_003645455.1,#FFC75F,Aerobe
GB_GCA_023380285.1,#D65DB1,Anaerobe
GB_GCA_015492305.1,#D65DB1,Anaerobe
GB_GCA_016183025.1,#D65DB1,Anaerobe
GB_GCA_015492395.1,#D65DB1,Anaerobe
GB_GCA_002010915.1,#D65DB1,Anaerobe
GB_GCA_019308145.1,#D65DB1,Anaerobe
GB_GCA_020346125.1,#D65DB1,Anaerobe
GB_GCA_013139225.1,#D65DB1,Anaerobe
GB_GCA_015486285.1,#D65DB1,Anaerobe
GB_GCA_020345765.1,#D65DB1,Anaerobe
GB_GCA_019310535.1,#D65DB1,Anaerobe
GB_GCA_016934595.1,#D65DB1,Anaerobe
GB_GCA_023512255.1,#D65DB1,Anaerobe
GB_GCA_016190025.1,#D65DB1,Anaerobe
GB_GCA_022562795.1,#D65DB1,Anaerobe
GB_GCA_016192455.1,#D65DB1,Anaerobe
GB_GCA_016193065.1,#D65DB1,Anaerobe
GB_GCA_003696125.1,#D65DB1,Anaerobe
GB_GCA_015231815.1,#D65DB1,Anaerobe
GB_GCA_018830405.1,#D65DB1,Anaerobe
GB_GCA_016212085.1,#D65DB1,Anaerobe
GB_GCA_016234185.1,#D65DB1,Anaerobe
GB_GCA_016217625.1,#D65DB1,Anaerobe
GB_GCA_018812395.1,#D65DB1,Anaerobe
GB_GCA_003646715.1,#D65DB1,Anaerobe
GB_GCA_012962595.1,#D65DB1,Anaerobe
GB_GCA_016208165.1,#D65DB1,Anaerobe
RS_GCF_011207455.1,#D65DB1,Anaerobe
GB_GCA_021737325.1,#D65DB1,Anaerobe
GB_GCA_002796325.1,#FFC75F,Aerobe
GB_GCA_016177765.1,#D65DB1,Anaerobe
GB_GCA_001798715.1,#D65DB1,Anaerobe
GB_GCA_015233135.1,#D65DB1,Anaerobe
GB_GCA_021772655.1,#FFC75F,Aerobe
GB_GCA_016183235.1,#D65DB1,Anaerobe
GB_GCA_016202395.1,#D65DB1,Anaerobe
GB_GCA_001797815.1,#D65DB1,Anaerobe
GB_GCA_003598065.1,#D65DB1,Anaerobe
GB_GCA_013152945.1,#D65DB1,Anaerobe
GB_GCA_024278455.1,#D65DB1,Anaerobe
GB_GCA_023150875.1,#FFC75F,Aerobe
GB_GCA_013360285.1,#D65DB1,Anaerobe
GB_GCA_015493765.1,#D65DB1,Anaerobe
GB_GCA_002728755.1,#D65DB1,Anaerobe
GB_GCA_020430585.1,#FFC75F,Aerobe
GB_GCA_003559575.1,#D65DB1,Anaerobe
GB_GCA_016874875.1,#FFC75F,Aerobe
GB_GCA_016931535.1,#D65DB1,Anaerobe
GB_GCA_016190375.1,#D65DB1,Anaerobe
GB_GCA_020854145.1,#D65DB1,Anaerobe
GB_GCA_019310245.1,#D65DB1,Anaerobe
GB_GCA_020853705.1,#FFC75F,Aerobe
GB_GCA_023248855.1,#FFC75F,Aerobe
GB_GCA_016218785.1,#D65DB1,Anaerobe
GB_GCA_024276595.1,#D65DB1,Anaerobe
GB_GCA_016218805.1,#D65DB1,Anaerobe
GB_GCA_016934455.1,#D65DB1,Anaerobe
GB_GCA_020848545.1,#FFC75F,Aerobe
GB_GCA_016283195.1,#D65DB1,Anaerobe
GB_GCA_021787845.1,#FFC75F,Aerobe
GB_GCA_020725805.1,#D65DB1,Anaerobe
GB_GCA_022072125.1,#D65DB1,Anaerobe
GB_GCA_016218965.1,#D65DB1,Anaerobe
GB_GCA_016192705.1,#D65DB1,Anaerobe
GB_GCA_020434085.1,#D65DB1,Anaerobe
GB_GCA_016713535.1,#D65DB1,Anaerobe
GB_GCA_016189835.1,#D65DB1,Anaerobe
GB_GCA_016735295.1,#FFC75F,Aerobe
GB_GCA_002995645.1,#D65DB1,Anaerobe
GB_GCA_023301565.1,#FFC75F,Aerobe
GB_GCA_902766925.1,#D65DB1,Anaerobe
GB_GCA_023301465.1,#FFC75F,Aerobe
GB_GCA_020852715.1,#D65DB1,Anaerobe
GB_GCA_018060885.1,#FFC75F,Aerobe
GB_GCA_016786595.1,#FFC75F,Aerobe
GB_GCA_020853655.1,#D65DB1,Anaerobe
GB_GCA_025055295.1,#FFC75F,Aerobe
GB_GCA_927798255.1,#D65DB1,Anaerobe
GB_GCA_001798265.1,#D65DB1,Anaerobe
GB_GCA_016205125.1,#D65DB1,Anaerobe
GB_GCA_011087955.1,#FFC75F,Aerobe
GB_GCA_903898645.1,#FFC75F,Aerobe
GB_GCA_023250585.1,#FFC75F,Aerobe
GB_GCA_020434365.1,#FFC75F,Aerobe
GB_GCA_001799195.1,#D65DB1,Anaerobe
GB_GCA_020434375.1,#FFC75F,Aerobe
GB_GCA_022763185.1,#FFC75F,Aerobe
GB_GCA_024653345.1,#D65DB1,Anaerobe
GB_GCA_016199255.1,#D65DB1,Anaerobe
GB_GCA_020429905.1,#FFC75F,Aerobe
GB_GCA_001772805.1,#D65DB1,Anaerobe
GB_GCA_001772615.1,#D65DB1,Anaerobe
GB_GCA_009995545.1,#D65DB1,Anaerobe
GB_GCA_002774225.1,#D65DB1,Anaerobe
GB_GCA_023474425.1,#D65DB1,Anaerobe
GB_GCA_002791435.1,#D65DB1,Anaerobe
GB_GCA_001771135.1,#D65DB1,Anaerobe
GB_GCA_016782545.1,#D65DB1,Anaerobe
GB_GCA_021806925.1,#D65DB1,Anaerobe
GB_GCA_016699595.1,#D65DB1,Anaerobe
GB_GCA_016927995.1,#D65DB1,Anaerobe
GB_GCA_002792135.1,#D65DB1,Anaerobe
GB_GCA_020429185.1,#D65DB1,Anaerobe
GB_GCA_007378955.1,#D65DB1,Anaerobe
GB_GCA_001791465.1,#D65DB1,Anaerobe
GB_GCA_004298615.1,#D65DB1,Anaerobe
GB_GCA_021799835.1,#D65DB1,Anaerobe
GB_GCA_001824325.1,#D65DB1,Anaerobe
GB_GCA_003599335.1,#D65DB1,Anaerobe
GB_GCA_001774105.1,#D65DB1,Anaerobe
GB_GCA_018609185.1,#D65DB1,Anaerobe
GB_GCA_000992445.2,#D65DB1,Anaerobe
GB_GCA_001779955.1,#D65DB1,Anaerobe
GB_GCA_016203935.1,#D65DB1,Anaerobe
GB_GCA_004374725.1,#D65DB1,Anaerobe
GB_GCA_018814055.1,#D65DB1,Anaerobe
GB_GCA_002792735.1,#D65DB1,Anaerobe
GB_GCA_009694835.1,#D65DB1,Anaerobe
GB_GCA_018830605.1,#D65DB1,Anaerobe
GB_GCA_021157605.1,#D65DB1,Anaerobe
GB_GCA_023487325.1,#D65DB1,Anaerobe
GB_GCA_002771215.1,#D65DB1,Anaerobe
GB_GCA_009885355.1,#D65DB1,Anaerobe
GB_GCA_020056565.1,#D65DB1,Anaerobe
GB_GCA_903954185.1,#D65DB1,Anaerobe
GB_GCA_021812945.1,#D65DB1,Anaerobe
GB_GCA_002783265.1,#D65DB1,Anaerobe
GB_GCA_000989565.1,#D65DB1,Anaerobe
GB_GCA_018829865.1,#D65DB1,Anaerobe
GB_GCA_018697675.1,#D65DB1,Anaerobe
GB_GCA_020723005.1,#D65DB1,Anaerobe
GB_GCA_021158185.1,#D65DB1,Anaerobe
GB_GCA_022072165.1,#D65DB1,Anaerobe
GB_GCA_021157815.1,#D65DB1,Anaerobe
GB_GCA_020061125.1,#D65DB1,Anaerobe
GB_GCA_016213885.1,#D65DB1,Anaerobe
GB_GCA_008086245.1,#D65DB1,Anaerobe
GB_GCA_012519615.1,#D65DB1,Anaerobe
GB_GCA_002313635.1,#D65DB1,Anaerobe
GB_GCA_023399505.1,#D65DB1,Anaerobe
GB_GCA_021161545.1,#D65DB1,Anaerobe
GB_GCA_013153035.1,#D65DB1,Anaerobe
GB_GCA_023252035.1,#D65DB1,Anaerobe
GB_GCA_003577105.1,#D65DB1,Anaerobe
RS_GCF_013281975.1,#D65DB1,Anaerobe
GB_GCA_023488455.1,#D65DB1,Anaerobe
GB_GCA_913009475.1,#D65DB1,Anaerobe
GB_GCA_020723435.1,#D65DB1,Anaerobe
GB_GCA_003599235.1,#D65DB1,Anaerobe
GB_GCA_023481285.1,#D65DB1,Anaerobe
GB_GCA_015711795.1,#D65DB1,Anaerobe
GB_GCA_016208465.1,#D65DB1,Anaerobe
GB_GCA_016210785.1,#D65DB1,Anaerobe
GB_GCA_016928715.1,#D65DB1,Anaerobe
GB_GCA_018823415.1,#D65DB1,Anaerobe
GB_GCA_016190625.1,#D65DB1,Anaerobe
GB_GCA_021325635.1,#FFC75F,Aerobe
GB_GCA_002410925.1,#D65DB1,Anaerobe
GB_GCA_012961305.1,#D65DB1,Anaerobe
GB_GCA_025062195.1,#D65DB1,Anaerobe
GB_GCA_002779825.1,#D65DB1,Anaerobe
GB_GCA_025055355.1,#D65DB1,Anaerobe
GB_GCA_011773575.1,#D65DB1,Anaerobe
GB_GCA_020354555.1,#D65DB1,Anaerobe
GB_GCA_019348365.1,#D65DB1,Anaerobe
GB_GCA_020846535.1,#D65DB1,Anaerobe
GB_GCA_016183885.1,#D65DB1,Anaerobe
GB_GCA_023486985.1,#D65DB1,Anaerobe
GB_GCA_023475345.1,#D65DB1,Anaerobe
GB_GCA_022704525.1,#D65DB1,Anaerobe
GB_GCA_016183865.1,#D65DB1,Anaerobe
GB_GCA_012522135.1,#D65DB1,Anaerobe
GB_GCA_012727955.1,#D65DB1,Anaerobe
GB_GCA_012516115.1,#D65DB1,Anaerobe
GB_GCA_014896355.1,#D65DB1,Anaerobe
GB_GCA_023381695.1,#D65DB1,Anaerobe
GB_GCA_020725425.1,#D65DB1,Anaerobe
GB_GCA_002399265.1,#D65DB1,Anaerobe
GB_GCA_002426645.1,#D65DB1,Anaerobe
GB_GCA_012840065.1,#D65DB1,Anaerobe
GB_GCA_016288255.1,#D65DB1,Anaerobe
GB_GCA_002411145.1,#D65DB1,Anaerobe
RS_GCF_002207765.1,#D65DB1,Anaerobe
GB_GCA_012512705.1,#D65DB1,Anaerobe
RS_GCF_900538055.1,#D65DB1,Anaerobe
GB_GCA_014896485.1,#FFC75F,Aerobe
GB_GCA_007132905.1,#D65DB1,Anaerobe
GB_GCA_016190305.1,#D65DB1,Anaerobe
GB_GCA_020724425.1,#D65DB1,Anaerobe
GB_GCA_017577485.1,#FFC75F,Aerobe
GB_GCA_023511835.1,#FFC75F,Aerobe
GB_GCA_020725675.1,#D65DB1,Anaerobe
GB_GCA_012842575.1,#D65DB1,Anaerobe
GB_GCA_002376005.1,#D65DB1,Anaerobe
GB_GCA_014360055.1,#D65DB1,Anaerobe
GB_GCA_902812875.1,#D65DB1,Anaerobe
GB_GCA_012840015.1,#D65DB1,Anaerobe
GB_GCA_021798855.1,#D65DB1,Anaerobe
GB_GCA_021810565.1,#D65DB1,Anaerobe
GB_GCA_021797925.1,#D65DB1,Anaerobe
GB_GCA_023475165.1,#D65DB1,Anaerobe
GB_GCA_021791495.1,#D65DB1,Anaerobe
GB_GCA_020725105.1,#D65DB1,Anaerobe
GB_GCA_012837735.1,#D65DB1,Anaerobe
GB_GCA_002375895.1,#D65DB1,Anaerobe
GB_GCA_004367365.1,#D65DB1,Anaerobe
GB_GCA_023511555.1,#D65DB1,Anaerobe
GB_GCA_020431915.1,#FFC75F,Aerobe
GB_GCA_003503675.1,#D65DB1,Anaerobe
GB_GCA_014377055.1,#FFC75F,Aerobe
GB_GCA_014377495.1,#FFC75F,Aerobe
GB_GCA_022709925.1,#D65DB1,Anaerobe
GB_GCA_018823125.1,#D65DB1,Anaerobe
GB_GCA_003242895.1,#D65DB1,Anaerobe
GB_GCA_013215865.1,#FFC75F,Aerobe
GB_GCA_018646105.1,#D65DB1,Anaerobe
GB_GCA_023249225.1,#FFC75F,Aerobe
GB_GCA_018700055.1,#FFC75F,Aerobe
GB_GCA_902558105.1,#FFC75F,Aerobe
GB_GCA_002433595.1,#FFC75F,Aerobe
GB_GCA_001871125.1,#D65DB1,Anaerobe
GB_GCA_002412545.1,#D65DB1,Anaerobe
GB_GCA_023228045.1,#D65DB1,Anaerobe
GB_GCA_002841695.1,#D65DB1,Anaerobe
GB_GCA_016204975.1,#D65DB1,Anaerobe
GB_GCA_016196785.1,#D65DB1,Anaerobe
GB_GCA_001800075.1,#FFC75F,Aerobe
GB_GCA_003650255.1,#D65DB1,Anaerobe
GB_GCA_021790555.1,#D65DB1,Anaerobe
GB_GCA_020722985.1,#D65DB1,Anaerobe
GB_GCA_000402295.1,#D65DB1,Anaerobe
GB_GCA_016783345.1,#D65DB1,Anaerobe
GB_GCA_003574845.1,#D65DB1,Anaerobe
GB_GCA_023818865.1,#D65DB1,Anaerobe
GB_GCA_002791075.1,#D65DB1,Anaerobe
GB_GCA_013202205.1,#D65DB1,Anaerobe
GB_GCA_002780005.1,#D65DB1,Anaerobe
GB_GCA_013203355.1,#D65DB1,Anaerobe
GB_GCA_016206785.1,#D65DB1,Anaerobe
GB_GCA_002783585.1,#D65DB1,Anaerobe
GB_GCA_013626165.1,#D65DB1,Anaerobe
GB_GCA_002340085.1,#D65DB1,Anaerobe
GB_GCA_018400015.1,#D65DB1,Anaerobe
GB_GCA_013203265.1,#D65DB1,Anaerobe
GB_GCA_018399975.1,#D65DB1,Anaerobe
GB_GCA_002085265.1,#D65DB1,Anaerobe
GB_GCA_023140385.1,#D65DB1,Anaerobe
GB_GCA_016929445.1,#D65DB1,Anaerobe
GB_GCA_016930485.1,#D65DB1,Anaerobe
GB_GCA_016206665.1,#D65DB1,Anaerobe
GB_GCA_016190205.1,#D65DB1,Anaerobe
GB_GCA_016206925.1,#D65DB1,Anaerobe
GB_GCA_016928875.1,#D65DB1,Anaerobe
GB_GCA_018823795.1,#D65DB1,Anaerobe
GB_GCA_001730085.1,#FFC75F,Aerobe
GB_GCA_022560555.1,#D65DB1,Anaerobe
GB_GCA_022711655.1,#D65DB1,Anaerobe
GB_GCA_012729785.1,#D65DB1,Anaerobe
GB_GCA_016931415.1,#D65DB1,Anaerobe
GB_GCA_013203085.1,#D65DB1,Anaerobe
GB_GCA_016932965.1,#D65DB1,Anaerobe
GB_GCA_024276815.1,#D65DB1,Anaerobe
GB_GCA_003498085.1,#D65DB1,Anaerobe
GB_GCA_020061965.1,#D65DB1,Anaerobe
GB_GCA_005239945.1,#D65DB1,Anaerobe
GB_GCA_003485015.1,#D65DB1,Anaerobe
GB_GCA_018830565.1,#D65DB1,Anaerobe
GB_GCA_001871075.1,#D65DB1,Anaerobe
GB_GCA_001871015.1,#D65DB1,Anaerobe
INO647,#D65DB1,Anaerobe
INO904,#D65DB1,Anaerobe
INO1248,#D65DB1,Anaerobe
INO1668,#D65DB1,Anaerobe
INO2194,#D65DB1,Anaerobe
INO458,#D65DB1,Anaerobe
INO1247,#D65DB1,Anaerobe
INO1667,#D65DB1,Anaerobe
INO2193,#D65DB1,Anaerobe
INO2877,#D65DB1,Anaerobe
INO3709,#D65DB1,Anaerobe
INO2192,#D65DB1,Anaerobe
INO2876,#D65DB1,Anaerobe
INO3708,#D65DB1,Anaerobe
INO2874,#D65DB1,Anaerobe
INO3707,#D65DB1,Anaerobe
INO3706,#D65DB1,Anaerobe
INO4670,#D65DB1,Anaerobe
INO5772,#D65DB1,Anaerobe
INO7000,#D65DB1,Anaerobe
INO8357,#D65DB1,Anaerobe
INO9795,#D65DB1,Anaerobe
INO11349,#D65DB1,Anaerobe
